Date_Time,Relative Humidity in %,Rainfall in mm,Temperature in Degree C,Radiation value in MJ/m^2,Demand in MW
1/1/2017 0:00,87,0,25.5,,2398.66
1/1/2017 1:00,85,0,26.2,,2238.83
1/1/2017 2:00,91,0,25.6,,2161.29
1/1/2017 3:00,93,0,25.3,,2094.65
1/1/2017 4:00,93,0,24.4,,2064.19
1/1/2017 5:00,93,0,23.9,,2090.14
1/1/2017 6:00,94,0,23.7,,2242.9
1/1/2017 7:00,94,0,22.6,,2330.15
1/1/2017 8:00,94,0,22.6,0.1,2285.23
1/1/2017 9:00,94,0,22.7,0.73,2209.72
1/1/2017 10:00,70,0,26.3,2.28,2181.71
1/1/2017 11:00,59,0,29.3,2.68,2158.5
1/1/2017 12:00,40,0,30.3,2.68,2171.38
1/1/2017 13:00,36,0,31.8,3.1,2142.67
1/1/2017 14:00,48,0,31.8,2.39,2165.62
1/1/2017 15:00,49,0,31.6,2.37,2177.44
1/1/2017 16:00,48,0,30.8,1.51,2215.9
1/1/2017 17:00,51,0,30.8,0.59,2244.89
1/1/2017 18:00,58,0,30.3,0.13,2358.22
1/1/2017 19:00,62,0,28.8,,3028.78
1/1/2017 20:00,64,0,28.3,,2987.56
1/1/2017 21:00,63,0,27.5,8.1,2970.44
1/1/2017 22:00,70,0,26.9,,2827.9
1/1/2017 23:00,75,0,26.3,,2465.82
1/2/2017 0:00,80,0,25.8,,2223.08
1/2/2017 1:00,85,0,25.9,,2105.89
1/2/2017 2:00,89,0,25,,2081.39
1/2/2017 3:00,92,0,24.7,,2013.7
1/2/2017 4:00,92,0,24.8,,2003.51
1/2/2017 5:00,92,0,24.8,,2033.59
1/2/2017 6:00,92,0,24.8,,2256.96
1/2/2017 7:00,92,0,25,,2428.63
1/2/2017 8:00,93,0,24.8,0.1,2462.74
1/2/2017 9:00,93,0,24.8,0.68,2513.41
1/2/2017 10:00,70,0,27.8,1.51,2631.71
1/2/2017 11:00,54,0,30.4,2.28,2697.2
1/2/2017 12:00,44,0,31.8,2.7,2735.07
1/2/2017 13:00,45,0,32.4,3.05,2727.21
1/2/2017 14:00,45,0,32.8,3.08,2720.39
1/2/2017 15:00,48,0,32.7,2.83,2798
1/2/2017 16:00,52,0,32.7,2.22,2810.25
1/2/2017 17:00,55,0,32.3,1.47,2747.35
1/2/2017 18:00,58,0,31.4,0.69,2766.51
1/2/2017 19:00,68,0,29.9,0.11,3411.79
1/2/2017 20:00,69,0,29.3,,3369.11
1/2/2017 21:00,71,0,28.2,,3288.27
1/2/2017 22:00,75,0,28.1,,3093.19
1/2/2017 23:00,83,0,27.3,,2642.33
1/3/2017 0:00,83,0,26.8,,2402.67
1/3/2017 1:00,87,0,26.6,,2258.87
1/3/2017 2:00,89,0,26.3,,2212.53
1/3/2017 3:00,90,0,25.8,,2143.79
1/3/2017 4:00,95,0,25.7,,2120.37
1/3/2017 5:00,95,0,25.4,,2209.24
1/3/2017 6:00,96,0,25.3,,2512.56
1/3/2017 7:00,97,0,24.9,,2734.03
1/3/2017 8:00,97,0,24.8,0.16,2660.74
1/3/2017 9:00,95,0,24.8,1.84,2516.47
1/3/2017 10:00,75,0,26.2,2.38,2588.29
1/3/2017 11:00,54,0,28.7,2.45,2634.15
1/3/2017 12:00,44,0,31,2.9,2650.94
1/3/2017 13:00,40,0,31.9,2.8,2679.13
1/3/2017 14:00,44,0,32,2.24,2674.8
1/3/2017 15:00,40,0,32.8,1.54,2756.98
1/3/2017 16:00,40,0,33,0.72,2748.06
1/3/2017 17:00,44,0,33,0.11,2801.21
1/3/2017 18:00,50,0,31.6,,2859.98
1/3/2017 19:00,59,0,30,,3512.58
1/3/2017 20:00,66,0,29,7,3458.68
1/3/2017 21:00,73,0,28.5,2,3377.98
1/3/2017 22:00,79,0,28,,3182.02
1/3/2017 23:00,81,0,27.1,,2739.75
1/4/2017 0:00,83,0,26.4,,2429.47
1/4/2017 1:00,87,0,25.2,,2301.64
1/4/2017 2:00,88,0,24.9,,2232.49
1/4/2017 3:00,91,0,24.5,,2207.42
1/4/2017 4:00,93,0,24.2,,2175.94
1/4/2017 5:00,95,0,24,,2238.46
1/4/2017 6:00,95,0,24,,2552.58
1/4/2017 7:00,95,0,24,0.11,2762.62
1/4/2017 8:00,95,0,24.2,0.68,2696.42
1/4/2017 9:00,77,0,26.7,1.46,2572.76
1/4/2017 10:00,58,0,29.3,1.93,2583.02
1/4/2017 11:00,45,0,30.8,2.15,2620.49
1/4/2017 12:00,57,0,31.3,2.7,2652.84
1/4/2017 13:00,53,0,32,2.9,2660.18
1/4/2017 14:00,50,0,32.1,2.65,2666.9
1/4/2017 15:00,51,0,32,2.17,2753.4
