Date_Time,Relative Humidity in %,Rainfall in mm,Temperature in Degree C,Radiation value in MJ/m^2,Kerala Holidays,Day of the week,Demand during this hour,Hourly Avg. of Prev. week,Demand in MW
1/1/2017 0:00,87,0,25.5,,TRUE,1,2398.66,2398.66,2398.66
1/1/2017 1:00,85,0,26.2,,TRUE,1,2238.83,2238.83,2238.83
1/1/2017 2:00,91,0,25.6,,TRUE,1,2161.29,2161.29,2161.29
1/1/2017 3:00,93,0,25.3,,TRUE,1,2094.65,2094.65,2094.65
1/1/2017 4:00,93,0,24.4,,TRUE,1,2064.19,2064.19,2064.19
1/1/2017 5:00,93,0,23.9,,TRUE,1,2090.14,2090.14,2090.14
1/1/2017 6:00,94,0,23.7,,TRUE,1,2242.9,2242.9,2242.9
1/1/2017 7:00,94,0,22.6,,TRUE,1,2330.15,2330.15,2330.15
1/1/2017 8:00,94,0,22.6,0.1,TRUE,1,2285.23,2285.23,2285.23
1/1/2017 9:00,94,0,22.7,0.73,TRUE,1,2209.72,2209.72,2209.72
1/1/2017 10:00,70,0,26.3,2.28,TRUE,1,2181.71,2181.71,2181.71
1/1/2017 11:00,59,0,29.3,2.68,TRUE,1,2158.5,2158.5,2158.5
1/1/2017 12:00,40,0,30.3,2.68,TRUE,1,2171.38,2171.38,2171.38
1/1/2017 13:00,36,0,31.8,3.1,TRUE,1,2142.67,2142.67,2142.67
1/1/2017 14:00,48,0,31.8,2.39,TRUE,1,2165.62,2165.62,2165.62
1/1/2017 15:00,49,0,31.6,2.37,TRUE,1,2177.44,2177.44,2177.44
1/1/2017 16:00,48,0,30.8,1.51,TRUE,1,2215.9,2215.9,2215.9
1/1/2017 17:00,51,0,30.8,0.59,TRUE,1,2244.89,2244.89,2244.89
1/1/2017 18:00,58,0,30.3,0.13,TRUE,1,2358.22,2358.22,2358.22
1/1/2017 19:00,62,0,28.8,,TRUE,1,3028.78,3028.78,3028.78
1/1/2017 20:00,64,0,28.3,,TRUE,1,2987.56,2987.56,2987.56
1/1/2017 21:00,63,0,27.5,8.1,TRUE,1,2970.44,2970.44,2970.44
1/1/2017 22:00,70,0,26.9,,TRUE,1,2827.9,2827.9,2827.9
1/1/2017 23:00,75,0,26.3,,TRUE,1,2465.82,2465.82,2465.82
1/2/2017 0:00,80,0,25.8,,TRUE,2,2398.66,2398.66,2223.08
1/2/2017 1:00,85,0,25.9,,TRUE,2,2238.83,2238.83,2105.89
1/2/2017 2:00,89,0,25,,TRUE,2,2161.29,2161.29,2081.39
1/2/2017 3:00,92,0,24.7,,TRUE,2,2094.65,2094.65,2013.7
1/2/2017 4:00,92,0,24.8,,TRUE,2,2064.19,2064.19,2003.51
1/2/2017 5:00,92,0,24.8,,TRUE,2,2090.14,2090.14,2033.59
1/2/2017 6:00,92,0,24.8,,TRUE,2,2242.9,2242.9,2256.96
1/2/2017 7:00,92,0,25,,TRUE,2,2330.15,2330.15,2428.63
1/2/2017 8:00,93,0,24.8,0.1,TRUE,2,2285.23,2285.23,2462.74
1/2/2017 9:00,93,0,24.8,0.68,TRUE,2,2209.72,2209.72,2513.41
1/2/2017 10:00,70,0,27.8,1.51,TRUE,2,2181.71,2181.71,2631.71
1/2/2017 11:00,54,0,30.4,2.28,TRUE,2,2158.5,2158.5,2697.2
1/2/2017 12:00,44,0,31.8,2.7,TRUE,2,2171.38,2171.38,2735.07
1/2/2017 13:00,45,0,32.4,3.05,TRUE,2,2142.67,2142.67,2727.21
1/2/2017 14:00,45,0,32.8,3.08,TRUE,2,2165.62,2165.62,2720.39
1/2/2017 15:00,48,0,32.7,2.83,TRUE,2,2177.44,2177.44,2798
1/2/2017 16:00,52,0,32.7,2.22,TRUE,2,2215.9,2215.9,2810.25
1/2/2017 17:00,55,0,32.3,1.47,TRUE,2,2244.89,2244.89,2747.35
1/2/2017 18:00,58,0,31.4,0.69,TRUE,2,2358.22,2358.22,2766.51
1/2/2017 19:00,68,0,29.9,0.11,TRUE,2,3028.78,3028.78,3411.79
1/2/2017 20:00,69,0,29.3,,TRUE,2,2987.56,2987.56,3369.11
1/2/2017 21:00,71,0,28.2,,TRUE,2,2970.44,2970.44,3288.27
1/2/2017 22:00,75,0,28.1,,TRUE,2,2827.9,2827.9,3093.19
1/2/2017 23:00,83,0,27.3,,TRUE,2,2465.82,2465.82,2642.33
1/3/2017 0:00,83,0,26.8,,FALSE,3,2223.08,2310.87,2402.67
1/3/2017 1:00,87,0,26.6,,FALSE,3,2105.89,2172.36,2258.87
1/3/2017 2:00,89,0,26.3,,FALSE,3,2081.39,2121.34,2212.53
1/3/2017 3:00,90,0,25.8,,FALSE,3,2013.7,2054.175,2143.79
1/3/2017 4:00,95,0,25.7,,FALSE,3,2003.51,2033.85,2120.37
1/3/2017 5:00,95,0,25.4,,FALSE,3,2033.59,2061.865,2209.24
1/3/2017 6:00,96,0,25.3,,FALSE,3,2256.96,2249.93,2512.56
1/3/2017 7:00,97,0,24.9,,FALSE,3,2428.63,2379.39,2734.03
1/3/2017 8:00,97,0,24.8,0.16,FALSE,3,2462.74,2373.985,2660.74
1/3/2017 9:00,95,0,24.8,1.84,FALSE,3,2513.41,2361.565,2516.47
1/3/2017 10:00,75,0,26.2,2.38,FALSE,3,2631.71,2406.71,2588.29
1/3/2017 11:00,54,0,28.7,2.45,FALSE,3,2697.2,2427.85,2634.15
1/3/2017 12:00,44,0,31,2.9,FALSE,3,2735.07,2453.225,2650.94
1/3/2017 13:00,40,0,31.9,2.8,FALSE,3,2727.21,2434.94,2679.13
1/3/2017 14:00,44,0,32,2.24,FALSE,3,2720.39,2443.005,2674.8
1/3/2017 15:00,40,0,32.8,1.54,FALSE,3,2798,2487.72,2756.98
1/3/2017 16:00,40,0,33,0.72,FALSE,3,2810.25,2513.075,2748.06
1/3/2017 17:00,44,0,33,0.11,FALSE,3,2747.35,2496.12,2801.21
1/3/2017 18:00,50,0,31.6,,FALSE,3,2766.51,2562.365,2859.98
1/3/2017 19:00,59,0,30,,FALSE,3,3411.79,3220.285,3512.58
1/3/2017 20:00,66,0,29,7,FALSE,3,3369.11,3178.335,3458.68
1/3/2017 21:00,73,0,28.5,2,FALSE,3,3288.27,3129.355,3377.98
1/3/2017 22:00,79,0,28,,FALSE,3,3093.19,2960.545,3182.02
1/3/2017 23:00,81,0,27.1,,FALSE,3,2642.33,2554.075,2739.75
1/4/2017 0:00,83,0,26.4,,FALSE,4,2402.67,2341.47,2429.47
1/4/2017 1:00,87,0,25.2,,FALSE,4,2258.87,2201.196667,2301.64
1/4/2017 2:00,88,0,24.9,,FALSE,4,2212.53,2151.736667,2232.49
1/4/2017 3:00,91,0,24.5,,FALSE,4,2143.79,2084.046667,2207.42
1/4/2017 4:00,93,0,24.2,,FALSE,4,2120.37,2062.69,2175.94
1/4/2017 5:00,95,0,24,,FALSE,4,2209.24,2110.99,2238.46
1/4/2017 6:00,95,0,24,,FALSE,4,2512.56,2337.473333,2552.58
1/4/2017 7:00,95,0,24,0.11,FALSE,4,2734.03,2497.603333,2762.62
1/4/2017 8:00,95,0,24.2,0.68,FALSE,4,2660.74,2469.57,2696.42
1/4/2017 9:00,77,0,26.7,1.46,FALSE,4,2516.47,2413.2,2572.76
1/4/2017 10:00,58,0,29.3,1.93,FALSE,4,2588.29,2467.236667,2583.02
1/4/2017 11:00,45,0,30.8,2.15,FALSE,4,2634.15,2496.616667,2620.49
1/4/2017 12:00,57,0,31.3,2.7,FALSE,4,2650.94,2519.13,2652.84
1/4/2017 13:00,53,0,32,2.9,FALSE,4,2679.13,2516.336667,2660.18
1/4/2017 14:00,50,0,32.1,2.65,FALSE,4,2674.8,2520.27,2666.9
1/4/2017 15:00,51,0,32,2.17,FALSE,4,2756.98,2577.473333,2753.4
1/4/2017 16:00,54,0,31.8,1.46,FALSE,4,2748.06,2591.403333,2759.55
1/4/2017 17:00,59,0,31.3,0.67,FALSE,4,2801.21,2597.816667,2840.84
1/4/2017 18:00,64,0,30.1,0.11,FALSE,4,2859.98,2661.57,2858.94
1/4/2017 19:00,66,0,29.3,,FALSE,4,3512.58,3317.716667,3543.43
1/4/2017 20:00,70,0,28.8,,FALSE,4,3458.68,3271.783333,3463.55
1/4/2017 21:00,75,0,28.1,,FALSE,4,3377.98,3212.23,3391.18
1/4/2017 22:00,80,0,27.7,,FALSE,4,3182.02,3034.37,3181.44
1/4/2017 23:00,84,0,27.1,,FALSE,4,2739.75,2615.966667,2770.72
1/5/2017 0:00,91,0,25.9,,FALSE,5,2429.47,2363.47,2453.19
1/5/2017 1:00,88,0,26.3,,FALSE,5,2301.64,2226.3075,2315.64
1/5/2017 2:00,92,0,25.8,,FALSE,5,2232.49,2171.925,2268.25
1/5/2017 3:00,92,0,25.4,,FALSE,5,2207.42,2114.89,2217.67
1/5/2017 4:00,92,0,24.7,,FALSE,5,2175.94,2091.0025,2191.45
1/5/2017 5:00,92,0,24.2,,FALSE,5,2238.46,2142.8575,2230.35
1/5/2017 6:00,88,0,23.8,,FALSE,5,2552.58,2391.25,2563.49
1/5/2017 7:00,83,0,23.8,0.13,FALSE,5,2762.62,2563.8575,2770.96
1/5/2017 8:00,75,0,23.8,0.74,FALSE,5,2696.42,2526.2825,2666.87
1/5/2017 9:00,63,0,24.9,1.54,FALSE,5,2572.76,2453.09,2567.66
1/5/2017 10:00,40,0,28.9,2.27,FALSE,5,2583.02,2496.1825,2556.77
1/5/2017 11:00,34,0,30.9,2.77,FALSE,5,2620.49,2527.585,2564.08
1/5/2017 12:00,39,0,32,2.85,FALSE,5,2652.84,2552.5575,2581.91
1/5/2017 13:00,42,0,32.2,2.84,FALSE,5,2660.18,2552.2975,2610.14
1/5/2017 14:00,42,0,32.3,2.69,FALSE,5,2666.9,2556.9275,2633.61
1/5/2017 15:00,49,0,32.2,2.2,FALSE,5,2753.4,2621.455,2714.67
1/5/2017 16:00,55,0,31.9,1.5,FALSE,5,2759.55,2633.44,2761.27
1/5/2017 17:00,55,0,30.3,0.49,FALSE,5,2840.84,2658.5725,2793.62
1/5/2017 18:00,70,0,29.8,0.1,FALSE,5,2858.94,2710.9125,2876.73
1/5/2017 19:00,72,0,28.6,,FALSE,5,3543.43,3374.145,3490.68
1/5/2017 20:00,75,0,27.9,,FALSE,5,3463.55,3319.725,3433.11
1/5/2017 21:00,80,0,27.6,,FALSE,5,3391.18,3256.9675,3357.19
1/5/2017 22:00,83,0,27.4,,FALSE,5,3181.44,3071.1375,3157.69
1/5/2017 23:00,86,0,26.7,,FALSE,5,2770.72,2654.655,2716.56
1/6/2017 0:00,85,0,25.6,,FALSE,6,2453.19,2381.414,2397.85
1/6/2017 1:00,91,0,25.4,,FALSE,6,2315.64,2244.174,2271.58
1/6/2017 2:00,91,0,24.9,,FALSE,6,2268.25,2191.19,2241.87
1/6/2017 3:00,91,0,24.6,,FALSE,6,2217.67,2135.446,2192.15
